feature,desc,transf_initial,source,source_group,"nunique, nuniquetotal",agg,include,date_col,new_name,active,comments
fourthquarter_440L,Number of results in fourth quarter.,L,staticcb0,staticcb0,55,,1,,,,
maritalst_385M,Marital status of the client.,M,staticcb0,staticcb0,6,,1,,,,
maritalst_893M,Marital status of the client,M,staticcb0,staticcb0,6,,1,,,,
numberofqueries_373L,Number of queries to credit bureau.,L,staticcb0,staticcb0,93,,1,,,,
pmtaverage_3A,Average of tax deductions.,A,staticcb0,staticcb0,40003,,1,,,,
pmtaverage_4527227A,Average of tax deductions.,A,staticcb0,staticcb0,30527,,1,,,,
pmtaverage_4955615A,Average of tax deductions.,A,staticcb0,staticcb0,32268,,1,,,,
pmtcount_4527229L,Number of tax deductions.,L,staticcb0,staticcb0,16,,1,,,,
pmtcount_4955617L,Number of tax deductions.,L,staticcb0,staticcb0,17,,1,,,,
pmtcount_693L,Number of tax deductions.,L,staticcb0,staticcb0,40,,1,,,,
pmtscount_423L,Number of tax deduction payments.,L,staticcb0,staticcb0,67,,1,,,,
pmtssum_45A,Sum of tax deductions for the client.,A,staticcb0,staticcb0,265230,,1,,,,
requesttype_4525192L,Tax authority request type.,L,staticcb0,staticcb0,4,,1,,,,
responsedate_1012D,Tax authority's response date.,D,staticcb0,staticcb0,293,,1,,,,
responsedate_4527233D,Tax authority's response date.,D,staticcb0,staticcb0,398,,1,,,,
responsedate_4917613D,Tax authority's response date.,D,staticcb0,staticcb0,208,,1,,,,
riskassesment_302T,Estimated probability that the client will default on their credit obligation within the next year.,T,staticcb0,staticcb0,17,,1,,,,
riskassesment_940T,Estimate of client's creditworthiness.,T,staticcb0,staticcb0,204,,1,,,,
secondquarter_766L,Number of results in second quarter.,L,staticcb0,staticcb0,56,,1,,,,
thirdquarter_1082L,Number of results in third quarter.,L,staticcb0,staticcb0,53,,1,,,,
amount_4527230A,Tax deductions amount tracked by the government registry.,A,taxregistrya1,taxregistrya1,92743,"min, max, mean, last",1,,amount_4527230A,,
name_4527232M,Name of employer.,M,taxregistrya1,taxregistrya1,147037,,0,,name_4527232M,,
recorddate_4527225D,Date of tax deduction record.,D,taxregistrya1,taxregistrya1,397,"max, min, mean",1,1,recorddate_4527225D,,
amount_4917619A,Tax deductions amount tracked by the government registry.,A,taxregistryb1,taxregistryb1,191635,"min, max, mean, last",1,,amount_4917619A,,
deductiondate_4917603D,Tax deduction date.,D,taxregistryb1,taxregistryb1,260,"max, min, last",0,,deductiondate_4917603D,,
name_4917606M,Name of employer.,M,taxregistryb1,taxregistryb1,55857,,0,,name_4917606M,,
employername_160M,Employer's name.,M,taxregistryc1,taxregistryc1,152835,,0,,employername_160M,,
pmtamount_36A,Tax deductions amount for credit bureau payments.,A,taxregistryc1,taxregistryc1,572321,"min, max, mean, last",1,,pmtamount_36A,,
processingdate_168D,Date when the tax deduction is processed.,D,taxregistryc1,taxregistryc1,325,"max, min, last, mean",0,,processingdate_168D,,
score_940,Estimate of client's creditworthiness.,0,,0,,,1,,,,
